loss_tr,loss_vl
0.6060391943838862,0.6256223747167349
0.594111573252413,0.6146052392287845
0.5888434278474914,0.607817918243262
0.5823178753058116,0.6054263347146452
0.5798591562350591,0.604123343510521
0.5795347827381558,0.6035113316023549
0.5764182976351844,0.607740035720053
0.573373123453723,0.6025816872292502
0.5705744335015616,0.6016925724808091
0.5682947772661845,0.598351134317352
0.5678222438547346,0.5986152650782786
0.5674209652768242,0.6003058002367854
0.5639606051418516,0.597913151305116
0.5628527084628742,0.5986872961235056
0.5621816812912623,0.597551689879833
0.5612186239388254,0.5975637861481636
0.5593518465015623,0.5962216823942923
0.5587998250643412,0.5966351253006915
0.5590573275751538,0.5970317152611453
0.558391968064838,0.597621183742264
0.5559796282582813,0.5971109790634228
0.5557397795412276,0.5971846954623063
0.5562571046710014,0.5963761149246387
0.5536008763710658,0.5960473315830096
0.5528845969888898,0.5978326232930244
0.5523905720763735,0.5980787734653353
0.5510671435250176,0.597012288530984
0.5511703706158532,0.5965909009219138
0.5496676279279921,0.5968067242740945
0.5499597206672032,0.5998290825715187
0.5493354234960344,0.5968065782408094
0.5483556124899123,0.5982799568008486
